amount,hour,day_of_week,time_since_last_tx,recipient_tx_count,fund_depletion_rate,tx_type,is_anomaly
50000,10,1,3600,5,0.02,donation,0
25000,11,2,7200,3,0.03,donation,0
100000,14,3,1800,8,0.05,donation,0
10000,9,1,5400,2,0.01,donation,0
75000,15,4,3600,6,0.04,donation,0
200000,16,5,900,12,0.08,donation,0
15000,10,2,7200,4,0.02,donation,0
30000,13,3,3600,5,0.03,donation,0
5000,11,1,10800,1,0.01,donation,0
120000,14,4,2700,9,0.06,donation,0
45000,10,2,3600,4,0.02,donation,0
80000,12,3,1800,7,0.04,donation,0
20000,9,1,7200,3,0.02,donation,0
60000,15,5,3600,6,0.03,donation,0
35000,11,2,5400,4,0.02,donation,0
500000,2,6,120,1,0.95,withdrawal,1
450000,3,7,60,1,0.90,withdrawal,1
380000,1,6,180,2,0.85,withdrawal,1
300000,23,7,90,1,0.80,withdrawal,1
250000,2,1,300,1,0.75,withdrawal,1
180000,16,3,600,15,0.60,withdrawal,0
150000,14,2,900,12,0.45,withdrawal,0
120000,11,4,1800,10,0.35,withdrawal,0
90000,10,1,2700,8,0.25,withdrawal,0
200000,15,3,1200,14,0.55,withdrawal,0
50000,10,1,3600,5,0.02,donation,0
80000,11,2,4500,6,0.04,donation,0
30000,14,4,7200,3,0.02,donation,0
15000,9,1,9000,2,0.01,donation,0
100000,16,5,2700,9,0.05,donation,0
420000,4,7,45,1,0.92,withdrawal,1
390000,2,6,30,1,0.88,withdrawal,1
350000,3,7,90,1,0.82,withdrawal,1
280000,1,6,120,2,0.78,withdrawal,1
230000,23,1,60,1,0.72,withdrawal,1
25000,10,2,3600,4,0.02,donation,0
45000,11,3,5400,5,0.03,donation,0
70000,13,4,3600,7,0.04,donation,0
10000,9,1,7200,2,0.01,donation,0
55000,15,5,4500,6,0.03,donation,0
160000,14,3,1500,13,0.50,withdrawal,0
130000,11,2,2100,11,0.40,withdrawal,0
110000,10,4,2700,9,0.32,withdrawal,0
85000,12,1,3600,7,0.28,withdrawal,0
95000,15,3,2400,8,0.30,withdrawal,0
460000,3,6,75,1,0.93,withdrawal,1
410000,2,7,50,1,0.89,withdrawal,1
360000,1,6,100,2,0.84,withdrawal,1
310000,23,7,80,1,0.79,withdrawal,1
260000,4,1,55,1,0.74,withdrawal,1
